Max_Demand_Day_MW,Shortage_During_Max_Demand_MW,Energy_Met_MU,Draw_Schedule_MU,OD_UD_MU,Max_OD_MU,Year,Month,Date
10042,2256,223.1999969,64.19999695,2.700000048,416,13,4,1
10811,1463,234.3999939,71.80000305,2.599999905,468,13,4,2
10340,2292,229.3999939,71.69999695,1.399999976,477,13,4,3
10048,2664,224,75.5,2.799999952,441,13,4,4
10837,1909,227.3000031,74.69999695,2.5,586,13,4,5
11197,1247,230.1999969,70.09999847,1.5,339,13,4,6
10760,1582,241.3000031,69,2.200000048,353,13,4,7
10129,1285,227.1999969,70.59999847,3.400000095,516,13,4,8
10129,2292,227.8000031,71.30000305,3.299999952,327,13,4,9
10700,2029,233.6999969,74.09999847,4.199999809,288,13,4,10
11335,1518,236.6999969,75.80000305,2.900000095,532,13,4,11
11009,1913,233.6999969,77.19999695,4,553,13,4,12
10443,2512,228.8999939,77.19999695,2.5,581,13,4,13
10191,2642,225.1000061,72.69999695,2.799999952,466,13,4,14
10782,1097,237.1999969,79.5,4.5,524,13,4,15
11313,605,224.3000031,79.80000305,1.700000048,370,13,4,16
11516,504,246.3000031,78.69999695,2.799999952,286,13,4,17
11126,1588,241.1000061,70.59999847,3.799999952,347,13,4,18
11072,604,243.6999969,71,1.899999976,302,13,4,19
10597,1704,236.3999939,72.40000153,3,358,13,4,20
11641,565,236,75.69999695,2.099999905,392,13,4,21
10201,1197,230.3000031,74,2.299999952,394,13,4,22
10546,1343,232.6000061,72.5,2.900000095,318,13,4,23
10840,1264,233.3999939,75.59999847,2.200000048,516,13,4,24
10109,1699,231.6000061,77.80000305,2.799999952,428,13,4,25
10864,1904,232.8999939,78.80000305,2.299999952,417,13,4,26
10287,2282,232.8000031,76,1.299999952,358,13,4,27
10775,1924,231.6999969,76.69999695,2.099999905,438,13,4,28
10890,497,241.8999939,77.09999847,1.600000024,363,13,4,29
10774,2032,238.3000031,76.90000153,3.599999905,383,13,4,30
10400,2261,233.3999939,75,3,409,13,5,1
9753,2203,220.1999969,70.40000153,3.5,460,13,5,2
10899,2331,225.8000031,65.59999847,2.400000095,453,13,5,3
11920,842,249.6000061,60.70000076,2.299999952,303,13,5,4
10903,1942,238.5,66.69999695,2.700000048,335,13,5,5
10164,2067,223.8000031,64.59999847,2.700000048,489,13,5,6
10420,2287,221.8999939,62.09999847,2.700000048,630,13,5,7
11200,1131,228.1999969,60.20000076,2.599999905,373,13,5,8
11733,1537,254.5,63,2.799999952,339,13,5,9
11905,542,259,62.20000076,1.299999952,654,13,5,10
11214,556,259.3999939,60.09999847,1,297,13,5,11
11443,590,258.6000061,59.20000076,-0.600000024,249,13,5,12
12097,580,257,56.29999924,-1.399999976,427,13,5,13
11395,568,250.6999969,58.09999847,-1.799999952,260,13,5,14
12006,613,267.2999878,59.20000076,-0.300000012,412,13,5,15
11872,583,265.8999939,58.40000153,-1.200000048,365,13,5,16
11740,1262,263.8999939,58.79999924,1.700000048,291,13,5,17
10615,1717,233.5,58.09999847,1.799999952,558,13,5,18
11006,1282,232.8999939,60.5,2.099999905,365,13,5,19
11004,876,239.6000061,61.29999924,3.599999905,427,13,5,20
11675,2700,238.8999939,63.5,1.799999952,609,13,5,21
